列1,募集日,地区名,路線名,駅名,所要時間,取引価格,間取り,竣工日,敷地面積,延べ面積,建蔽率,容積率,経度,緯度,築年数,補正築年数,補正所要時間,縦横比,間取り指数
355,2019/4/1,船戸3丁目,つくばエクスプレス,柏たなか,9,34900000,4LDK,201810,201.15,109.3,50,100,139.95454,35.91782,0.498630137,0.498630137,9.303679427,2,5.5
356,2019/4/1,船戸3丁目,つくばエクスプレス,柏たなか,9,37900000,4LDK,201810,201.18,108.68,50,100,139.95454,35.91782,0.498630137,0.498630137,9.303679427,2,5.5
357,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,20900000,4LDK,201904,120.33,102.67,50,100,139.97462,35.80325,0,0,21.5666943,2,5.5
358,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,18900000,4LDK,201904,120.31,102.67,50,100,139.97462,35.80325,0,0,21.5666943,2,5.5
359,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,19900000,4LDK,201904,120.31,95.63,50,100,139.97462,35.80325,0,0,21.5666943,2,5.5
360,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,18900000,4LDK,201904,132.63,99.77,50,100,139.97462,35.80325,0,0,21.5666943,2,5.5
361,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,33800000,4LDK,201804,150.06,105.57,60,200,139.95816,35.90826,1,1,10.33742159,3.333333333,5.5
362,2019/4/1,増尾台3丁目,東武野田線,増尾,13,25800000,4LDK,201905,135.97,94.4,50,100,139.97473,35.8247,0.082191781,0.082191781,13.31063136,2,5.5
363,2019/4/1,八幡町,ＪＲ常磐線,柏,7,26800000,3LDK,201904,135.5,93.56,50,100,139.9859,35.85388,0,0,3.558069089,2,4.5
364,2019/4/1,柏,ＪＲ常磐線,柏,4,29800000,4LDK,201904,115.71,98.01,50,100,139.98651,35.86444,0,0,2.033182337,2,5.5
365,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,23800000,4LDK,201811,122.1,109.92,50,100,139.95715,35.82587,0.41369863,0.41369863,3.602771449,2,5.5
366,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,4LDK,201903,120.08,103.51,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
367,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,4LDK,201903,120.1,107.13,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
368,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,4LDK,201903,120.1,107.44,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
369,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,3LDK,201903,120.11,101.22,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,4.5
370,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,4LDK,201903,120.09,103.09,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
371,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,21800000,4LDK,201903,110.04,105.58,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
372,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,23800000,4LDK,201903,110.1,97.71,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
373,2019/4/1,光ケ丘3丁目,ＪＲ常磐線,南柏,4,24800000,4LDK,201903,120.05,104.33,50,100,139.95715,35.82587,0.084931507,0.084931507,3.602771449,2,5.5
374,2019/4/1,東山1丁目,東武野田線,新柏,29,25800000,4LDK,201907,164.31,102.67,60,160,139.95569,35.8249,0.249315068,0.249315068,29.15460857,2.666666667,5.5
375,2019/4/1,花野井,つくばエクスプレス,柏たなか,32,17480000,4LDK,198012,202.47,117.37,50,100,139.97424,35.89674,38.35616438,40.2739726,33.07974907,2,5.5
376,2019/4/1,永楽台3丁目,東武野田線,新柏,15,25900000,4LDK,201901,140.04,102.26,50,100,139.9713,35.84557,0.246575342,0.246575342,15.07996995,2,5.5
377,2019/4/1,西山2丁目,ＪＲ常磐線,北小金,7,19800000,4LDK,201211,106.02,96.88,50,100,139.95401,35.82056,6.416438356,6.416438356,6.553428078,2,5.5
378,2019/4/1,豊住3丁目,東武野田線,新柏,4,11800000,4LDK,198005,120.2,95.22,60,150,139.96355,35.83827,38.94246575,40.88958904,4.021325321,2.5,5.5
379,2019/4/1,小青田3丁目,つくばエクスプレス,柏たなか,7,41800000,4LDK,201901,171.66,110.75,60,200,139.95557,35.91412,0.246575342,0.246575342,7.23619511,3.333333333,5.5
380,2019/4/1,しいの木台5丁目,東武野田線,高柳,22,21900000,4LDK,201905,131.34,103.5,50,100,139.98424,35.8068,0.082191781,0.082191781,22.48160963,2,5.5
381,2019/4/1,増尾7丁目,東武野田線,逆井,6,28000000,4LDK,201303,131.05,92.73,60,150,139.98209,35.82806,6.087671233,6.087671233,6.126767392,2.5,5.5
382,2019/4/1,豊住3丁目,東武野田線,新柏,4,12000000,4DK,198105,149.16,95.84,50,100,139.96355,35.83827,37.94246575,39.83958904,4.021325321,2,5
383,2019/4/1,篠籠田,ＪＲ常磐線,柏,0,28800000,3LDK,201905,94.38,94.38,70,200,139.94336,35.86812,0.082191781,0.082191781,0,2.857142857,4.5
384,2019/4/1,光ケ丘2丁目,ＪＲ常磐線,南柏,6,24800000,2LDK,200401,132.25,102.67,60,200,139.95151,35.83031,15.25753425,16.02041096,5.404157173,3.333333333,3.5
385,2019/4/1,豊四季,ＪＲ常磐線,南柏,27,8800000,4LDK,198807,130.37,86.75,60,200,139.94981,35.85993,30.76986301,32.30835616,24.31870728,3.333333333,5.5
386,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,12,38800000,3LDK,201901,104.95,99.36,50,100,139.97424,35.89674,0.246575342,0.246575342,11.67825843,2,4.5
387,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,5,38800000,4LDK,201904,192.19,109.31,50,100,139.95816,35.90826,0,0,5.168710793,2,5.5
388,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,5,39800000,4LDK,201904,175.49,109.3,50,100,139.95816,35.90826,0,0,5.168710793,2,5.5
389,2019/4/1,松ケ崎,ＪＲ常磐線,北柏,22,15980000,2LDK,200402,118.65,87,60,150,139.97595,35.87908,15.17260274,15.93123288,21.10291347,2.5,3.5
390,2019/4/1,豊四季,東武野田線,豊四季,8,14980000,4LDK,199507,111.59,86.12,60,200,139.94981,35.85993,23.76712329,24.95547945,8.153362878,3.333333333,5.5
391,2019/4/1,花野井,ＪＲ常磐線,北柏,30,13980000,4LDK,199909,100.24,86.94,60,150,139.97424,35.89674,19.59452055,20.57424658,28.77670019,2.5,5.5
392,2019/4/1,布施,ＪＲ常磐線,北柏,24,14980000,4LDK,199509,136.58,99.36,60,150,139.99283,35.89152,23.59726027,24.77712329,23.02136015,2.5,5.5
393,2019/4/1,篠籠田,東武野田線,豊四季,13,17980000,4LDK,200312,100.02,88.5,60,150,139.94336,35.86812,15.34246575,16.10958904,13.24921468,2.5,5.5
394,2019/4/1,花野井,つくばエクスプレス,柏たなか,29,17980000,5LDK,198203,188.27,134.56,50,100,139.97424,35.89674,37.10958904,38.96506849,29.9785226,2,6.5
395,2019/4/1,加賀2丁目,東武野田線,増尾,10,24800000,4LDK,201702,129.41,101.01,60,150,139.96939,35.82877,2.161643836,2.161643836,10.2389472,2.5,5.5
396,2019/4/1,豊四季,ＪＲ常磐線,柏,2,22800000,4LDK,201705,112.01,104.33,60,200,139.94981,35.85993,1.917808219,1.917808219,1.016591168,3.333333333,5.5
397,2019/4/1,豊平町,ＪＲ常磐線,南柏,18,28800000,2LDK,201103,123.57,101.02,50,100,139.95712,35.8547,8.090410959,8.090410959,16.21247152,2,3.5
398,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,4,24900000,4LDK,201808,122,103.91,60,150,139.97424,35.89674,0.665753425,0.665753425,3.892752811,2.5,5.5
399,2019/4/1,増尾4丁目,東武野田線,増尾,12,24900000,4LDK,201608,148,101.84,50,100,139.98355,35.83547,2.665753425,2.665753425,12.28673664,2,5.5
400,2019/4/1,酒井根6丁目,ＪＲ常磐線,南柏,3,32000000,3LDK,201508,132.5,102.45,50,100,139.95744,35.82371,3.668493151,3.668493151,2.702078587,2,4.5
401,2019/4/1,花野井,ＪＲ常磐線,北柏,29,24900000,4LDK,201903,113.02,101.85,50,100,139.97424,35.89674,0.084931507,0.084931507,27.81747685,2,5.5
402,2019/4/1,西山2丁目,ＪＲ常磐線,北小金,8,23800000,4LDK,201807,193.72,99.37,50,100,139.95401,35.82056,0.750684932,0.750684932,7.489632089,2,5.5
403,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,3,24800000,3LDK,201809,114.1,101.85,50,100,139.97424,35.89674,0.580821918,0.580821918,2.919564608,2,4.5
404,2019/4/1,関場町,ＪＲ常磐線,柏,2,17800000,4LDK,198101,160.34,82.8,50,100,139.98373,35.85007,38.27123288,40.18479452,1.016591168,2,5.5
405,2019/4/1,新逆井1丁目,東武野田線,逆井,28,5500000,3DK,197503,146.18,50.39,50,100,139.97218,35.81209,44.11506849,48.52657534,28.59158116,2,4
406,2019/4/1,柏の葉3丁目,つくばエクスプレス,柏の葉キャンパス,24,33800000,3LDK,200906,173.17,104.74,50,100,139.9362,35.89154,9.838356164,9.838356164,23.35651686,2,4.5
407,2019/4/1,西原5丁目,東武野田線,初石,15,29800000,3LDK,201810,104.03,94.38,60,150,139.91978,35.89122,0.498630137,0.498630137,15.14300756,2.5,4.5
408,2019/4/1,松ケ崎,ＪＲ常磐線,柏,23,26800000,3LDK,201904,103.99,99.22,60,150,139.97595,35.87908,0,0,11.69079844,2.5,4.5
409,2019/4/1,西原5丁目,東武野田線,初石,14,25800000,3LDK,201906,72.46,80.1,60,150,139.91978,35.89122,0.167123288,0.167123288,14.13347372,2.5,4.5
410,2019/4/1,大井,ＪＲ常磐線,柏,7,15800000,3LDK,200803,192.53,90,60,150,140.00441,35.85015,11.09041096,11.09041096,3.558069089,2.5,4.5
411,2019/4/1,西原7丁目,東武野田線,初石,16,24800000,3LDK,201905,217.41,101.43,60,200,139.92741,35.88923,0.082191781,0.082191781,16.1525414,3.333333333,4.5
412,2019/4/1,永楽台3丁目,東武野田線,新柏,21,13800000,4LDK,198112,99,98.18,60,160,139.9713,35.84557,37.35616438,39.2239726,21.11195793,2.666666667,5.5
413,2019/4/1,関場町,ＪＲ常磐線,柏,2,17800000,5LDK,198101,160.34,82.8,50,100,139.98373,35.85007,38.27123288,40.18479452,1.016591168,2,6.5
414,2019/4/1,南逆井4丁目,新京成電鉄,五香,22,18900000,4LDK,201811,130.77,99.77,50,100,139.97462,35.80325,0.41369863,0.41369863,21.5666943,2,5.5
415,2019/4/1,南逆井1丁目,新京成電鉄,五香,22,21900000,4LDK,201902,315.21,102.46,50,100,139.97037,35.80757,0.161643836,0.161643836,21.5666943,2,5.5
416,2019/4/1,南逆井5丁目,東武野田線,逆井,27,26000000,5LDK,200411,205.97,130,50,100,139.97513,35.80719,14.42191781,15.1430137,27.57045326,2,6.5
417,2019/4/1,今谷上町,ＪＲ常磐線,南柏,8,39990000,4LDK,201505,162.38,108.86,50,100,139.95641,35.84102,3.920547945,3.920547945,7.205542898,2,5.5
418,2019/4/1,明原3丁目,ＪＲ常磐線,柏,12,52000000,3LDK,201807,131.68,106,60,160,139.9632,35.86709,0.750684932,0.750684932,6.09954701,2.666666667,4.5
419,2019/4/1,柏の葉5丁目,つくばエクスプレス,柏の葉キャンパス,3,24800000,4LDK,201807,150.01,98.94,60,200,139.93605,35.902,0.750684932,0.750684932,2.919564608,3.333333333,5.5
420,2019/4/1,柏の葉5丁目,つくばエクスプレス,柏の葉キャンパス,3,22800000,4LDK,201807,165.77,99.36,60,200,139.93605,35.902,0.750684932,0.750684932,2.919564608,3.333333333,5.5
421,2019/4/1,柏の葉5丁目,つくばエクスプレス,柏の葉キャンパス,3,33800000,4LDK,201807,150.08,99.37,60,200,139.93605,35.902,0.750684932,0.750684932,2.919564608,3.333333333,5.5
422,2019/4/1,明原2丁目,ＪＲ常磐線,柏,8,50800000,3LDK,201810,111.89,86.96,60,160,139.96704,35.86608,0.498630137,0.498630137,4.066364673,2.666666667,4.5
423,2019/4/1,明原2丁目,ＪＲ常磐線,柏,8,48800000,3LDK,201810,120.44,89.45,60,160,139.96704,35.86608,0.498630137,0.498630137,4.066364673,2.666666667,4.5
424,2019/4/1,明原2丁目,ＪＲ常磐線,柏,8,52800000,2LDK,201810,111.1,88.62,60,160,139.96704,35.86608,0.498630137,0.498630137,4.066364673,2.666666667,3.5
425,2019/4/1,明原2丁目,ＪＲ常磐線,柏,8,49800000,2LDK,201810,121.36,92.76,60,160,139.96704,35.86608,0.498630137,0.498630137,4.066364673,2.666666667,3.5
426,2019/4/1,西柏台2丁目,東武野田線,初石,14,19800000,5LDK,197708,261.02,110.13,60,200,139.9274,35.88499,41.69315068,45.86246575,14.13347372,3.333333333,6.5
427,2019/4/1,増尾7丁目,東武野田線,逆井,5,33800000,4LDK,201901,159.96,104.13,60,150,139.98209,35.82806,0.246575342,0.246575342,5.105639493,2.5,5.5
428,2019/4/1,高柳,東武野田線,高柳,11,14800000,4LDK,199009,195.03,121.85,50,100,139.99794,35.8078,28.6,30.03,11.24080481,2,5.5
429,2019/4/1,新富町2丁目,ＪＲ常磐線,南柏,18,26800000,4LDK,201808,115.12,103.09,50,100,139.95262,35.85528,0.665753425,0.665753425,16.21247152,2,5.5
430,2019/4/1,北柏台,ＪＲ常磐線,北柏,7,32800000,2LDK,201904,94.36,124.7,60,200,139.99208,35.87626,0,0,6.714563377,3.333333333,3.5
431,2019/4/1,緑台,ＪＲ常磐線,柏,6,10800000,4LDK,199009,151.5,115.51,60,200,140.00815,35.84634,28.6,30.03,3.049773505,3.333333333,5.5
432,2019/4/1,西原4丁目,東武野田線,江戸川台,15,34500000,4LDK,201803,152.17,107.64,60,150,139.92291,35.89322,1.084931507,1.084931507,14.92087374,2.5,5.5
433,2019/4/1,新柏3丁目,東武野田線,新柏,9,32800000,3LDK,201403,122.27,88.81,50,100,139.97206,35.84167,5.087671233,5.087671233,9.047981972,2,4.5
434,2019/4/1,つくしが丘2丁目,東武野田線,新柏,9,14900000,4LDK,198712,159.1,127.73,50,100,139.96437,35.83359,31.35342466,32.92109589,9.047981972,2,5.5
435,2019/4/1,南増尾6丁目,新京成電鉄,五香,3,7800000,3LDK,199011,87.61,76.53,60,200,139.96356,35.81116,28.43287671,29.85452055,2.94091286,3.333333333,4.5
436,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,35800000,4LDK,201806,110.74,105.16,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
437,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,42800000,4LDK,201806,120.05,115.5,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
438,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,40300000,4LDK,201806,120.19,104.33,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
439,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,41800000,4LDK,201806,120.22,107.65,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
440,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,42800000,4LDK,201806,120.04,109.6,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
441,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,38800000,4LDK,201806,110.5,105.16,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
442,2019/4/1,今谷南町,ＪＲ常磐線,南柏,12,40800000,4LDK,201806,120.09,105.99,60,200,139.95775,35.83663,0.832876712,0.832876712,10.80831435,3.333333333,5.5
443,2019/4/1,東中新宿3丁目,東武野田線,新柏,14,23800000,4LDK,201811,105.52,96.79,50,100,139.96339,35.82977,0.41369863,0.41369863,14.07463862,2,5.5
444,2019/4/1,東中新宿3丁目,東武野田線,新柏,14,21800000,4LDK,201811,114.54,95.58,50,100,139.96339,35.82977,0.41369863,0.41369863,14.07463862,2,5.5
445,2019/4/1,塚崎,ＪＲ常磐線,柏,7,22900000,3LDK,201904,200.07,103.51,60,150,139.99606,35.83493,0,0,3.558069089,2.5,4.5
446,2019/4/1,小青田4丁目,つくばエクスプレス,柏たなか,10,30800000,4LDK,201812,150.05,105.15,50,100,139.95673,35.91602,0.331506849,0.331506849,10.33742159,2,5.5
447,2019/4/1,小青田4丁目,つくばエクスプレス,柏たなか,10,35800000,4LDK,201812,150.05,105.58,50,100,139.95673,35.91602,0.331506849,0.331506849,10.33742159,2,5.5
448,2019/4/1,小青田4丁目,つくばエクスプレス,柏たなか,10,32800000,4LDK,201812,150.06,104.95,50,100,139.95673,35.91602,0.331506849,0.331506849,10.33742159,2,5.5
449,2019/4/1,高田,ＪＲ常磐線,柏,3,22800000,4LDK,201510,121.62,98.53,60,200,139.94922,35.8777,3.501369863,3.501369863,1.524886753,3.333333333,5.5
450,2019/4/1,東中新宿3丁目,東武野田線,新柏,14,26800000,4LDK,201905,111.53,103.27,50,100,139.96339,35.82977,0.082191781,0.082191781,14.07463862,2,5.5
451,2019/4/1,東中新宿3丁目,東武野田線,新柏,14,29800000,4LDK,201905,105.53,97.6,50,100,139.96339,35.82977,0.082191781,0.082191781,14.07463862,2,5.5
452,2019/4/1,あかね町,ＪＲ常磐線,柏,20,32800000,4LDK,201907,113.31,99.22,50,100,139.97855,35.84998,0.249315068,0.249315068,10.16591168,2,5.5
453,2019/4/1,あかね町,ＪＲ常磐線,柏,20,33800000,4LDK,201907,110.73,99.63,50,100,139.97855,35.84998,0.249315068,0.249315068,10.16591168,2,5.5
454,2019/4/1,増尾台2丁目,東武野田線,増尾,10,29800000,4LDK,201906,125.46,104.49,50,100,139.9711,35.82467,0.167123288,0.167123288,10.2389472,2,5.5
455,2019/4/1,増尾台2丁目,東武野田線,増尾,10,30300000,4LDK,201906,110.1,102.05,50,100,139.9711,35.82467,0.167123288,0.167123288,10.2389472,2,5.5
456,2019/4/1,増尾台2丁目,東武野田線,増尾,10,29300000,4LDK,201906,114.49,98.82,50,100,139.9711,35.82467,0.167123288,0.167123288,10.2389472,2,5.5
457,2019/4/1,高田,ＪＲ常磐線,柏,36,21900000,3LDK,201703,120.52,103.5,60,200,139.94922,35.8777,2.084931507,2.084931507,18.29864103,3.333333333,4.5
458,2019/4/1,戸張,ＪＲ常磐線,柏,29,12000000,4LDK,200112,120,109.3,50,100,139.99359,35.856,17.34246575,18.20958904,14.74057194,2,5.5
459,2019/4/1,篠籠田,東武野田線,豊四季,15,6900000,4DK,196904,152,88.8,60,150,139.94336,35.86812,50.03287671,55.03616438,15.2875554,2.5,5
460,2019/4/1,大井,ＪＲ常磐線,柏,3,18800000,5LDK,199301,211.99,140.63,60,200,140.00441,35.85015,26.2630137,27.57616438,1.524886753,3.333333333,6.5
461,2019/4/1,宿連寺,ＪＲ常磐線,北柏,24,25800000,2LDK,201804,115.15,99.36,50,100,139.98523,35.8875,1,1,23.02136015,2,3.5
462,2019/4/1,東山2丁目,東武野田線,新柏,31,16800000,3LDK,200102,105.81,105.81,50,100,139.95239,35.82512,18.17260274,19.08123288,31.16527124,2,4.5
463,2019/4/1,青葉台2丁目,新京成電鉄,常盤平,22,29900000,2LDK,201805,193.49,102.67,60,200,139.95786,35.81353,0.917808219,0.917808219,22.198523,3.333333333,3.5
464,2019/4/1,若柴,つくばエクスプレス,柏の葉キャンパス,19,19900000,4LDK,199609,108.58,119.14,60,200,139.95399,35.89166,22.59452055,23.72424658,18.49057585,3.333333333,5.5
465,2019/4/1,中新宿3丁目,ＪＲ常磐線,北小金,23,12990000,4LDK,198203,169.79,92,60,200,139.94688,35.83292,37.10958904,38.96506849,21.53269226,3.333333333,5.5
466,2019/4/1,豊四季,ＪＲ常磐線,柏,1,28800000,4LDK,201902,120.68,101.84,60,200,139.94981,35.85993,0.161643836,0.161643836,0.508295584,3.333333333,5.5
467,2019/4/1,南逆井1丁目,新京成電鉄,五香,25,21900000,4LDK,201812,315.21,102.46,50,100,139.97037,35.80757,0.331506849,0.331506849,24.50760716,2,5.5
468,2019/4/1,ひばりが丘,ＪＲ常磐線,柏,2,29800000,4LDK,201809,81.09,123.58,60,200,139.96916,35.84882,0.580821918,0.580821918,1.016591168,3.333333333,5.5
469,2019/4/1,松ケ崎,ＪＲ常磐線,柏,23,26800000,3LDK,201902,103.99,99.22,60,150,139.97595,35.87908,0.161643836,0.161643836,11.69079844,2.5,4.5
470,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201903,132.3,99.36,50,100,139.97408,35.81639,0.084931507,0.084931507,26.54932536,2,5.5
471,2019/4/1,南増尾,東武野田線,逆井,26,20900000,4LDK,201903,135.11,99.77,50,100,139.97408,35.81639,0.084931507,0.084931507,26.54932536,2,5.5
472,2019/4/1,南増尾,東武野田線,逆井,26,21900000,4LDK,201903,120.09,102.68,50,100,139.97408,35.81639,0.084931507,0.084931507,26.54932536,2,5.5
473,2019/4/1,南増尾,東武野田線,逆井,26,20900000,3LDK,201903,133.63,95.63,50,100,139.97408,35.81639,0.084931507,0.084931507,26.54932536,2,4.5
474,2019/4/1,南増尾,東武野田線,逆井,26,25500000,4LDK,201903,132.3,100.6,50,100,139.97408,35.81639,0.084931507,0.084931507,26.54932536,2,5.5
475,2019/4/1,南増尾,東武野田線,逆井,26,25500000,4LDK,201902,132.29,101.85,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
476,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201902,120.1,96.46,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
477,2019/4/1,南増尾,東武野田線,逆井,26,22900000,4LDK,201902,133.12,98.94,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
478,2019/4/1,南増尾,東武野田線,逆井,26,26900000,4LDK,201902,132.29,101.02,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
479,2019/4/1,南増尾,東武野田線,逆井,26,19900000,4LDK,201902,132.93,97.7,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
480,2019/4/1,南増尾,東武野田線,逆井,26,19900000,4LDK,201902,188.59,100.81,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
481,2019/4/1,南増尾,東武野田線,逆井,26,18900000,4LDK,201902,151.81,94.81,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
482,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201902,156.06,98.12,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
483,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201902,207,98.53,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
484,2019/4/1,南増尾,東武野田線,逆井,26,25500000,4LDK,201902,132.46,97.71,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
485,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201902,132.5,107.64,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
486,2019/4/1,南増尾,東武野田線,逆井,26,24500000,4LDK,201902,132.48,103.09,50,100,139.97408,35.81639,0.161643836,0.161643836,26.54932536,2,5.5
487,2019/4/1,あけぼの2丁目,ＪＲ常磐線,柏,12,33500000,2LDK,201904,70.83,58.44,60,200,139.9742,35.86803,0,0,6.09954701,3.333333333,3.5
488,2019/4/1,八幡町,ＪＲ常磐線,柏,7,27800000,3LDK,201903,150.4,104.33,50,100,139.9859,35.85388,0.084931507,0.084931507,3.558069089,2,4.5
489,2019/4/1,花野井,つくばエクスプレス,柏の葉キャンパス,12,32800000,4LDK,201810,106.27,101.8,60,200,139.97424,35.89674,0.498630137,0.498630137,11.67825843,3.333333333,5.5
490,2019/4/1,みどり台2丁目,東武野田線,江戸川台,20,24980000,4LDK,201902,120.55,105.78,60,150,139.9216,35.90454,0.161643836,0.161643836,19.89449833,2.5,5.5
491,2019/4/1,みどり台2丁目,東武野田線,江戸川台,20,27980000,4LDK,201902,120,104.71,60,150,139.9216,35.90454,0.161643836,0.161643836,19.89449833,2.5,5.5
492,2019/4/1,みどり台2丁目,東武野田線,江戸川台,20,24980000,4LDK,201904,120.55,105.57,60,150,139.9216,35.90454,0,0,19.89449833,2.5,5.5
493,2019/4/1,みどり台2丁目,東武野田線,江戸川台,20,27980000,4LDK,201904,120.01,100.19,60,150,139.9216,35.90454,0,0,19.89449833,2.5,5.5
494,2019/4/1,青葉台1丁目,ＪＲ常磐線,南柏,1,33980000,3LDK,201908,168.95,102.98,60,200,139.96272,35.81493,0.334246575,0.334246575,0.900692862,3.333333333,4.5
495,2019/4/1,南逆井6丁目,新京成電鉄,五香,22,11500000,4LDK,199507,100,81.14,50,100,139.97791,35.80551,23.76712329,24.95547945,21.5666943,2,5.5
496,2019/4/1,若柴,つくばエクスプレス,柏の葉キャンパス,8,58800000,4LDK,201801,135.26,112.61,60,200,139.95399,35.89166,1.246575342,1.246575342,7.785505622,3.333333333,5.5
497,2019/4/1,常盤台,東武野田線,新柏,14,17980000,3LDK,201809,82.72,80.73,50,100,139.96707,35.84692,0.580821918,0.580821918,14.07463862,2,4.5
498,2019/4/1,藤心1丁目,東武野田線,逆井,14,12000000,4LDK,198506,103.19,85.28,50,100,139.99205,35.82784,33.85479452,35.54753425,14.29579058,2,5.5
499,2019/4/1,逆井4丁目,東武野田線,逆井,8,17500000,4LDK,200405,105.7,95.89,50,100,139.97916,35.8198,14.9260274,15.67232877,8.169023189,2,5.5
500,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,29800000,4LDK,201806,151.17,104.33,50,100,139.95816,35.90826,0.832876712,0.832876712,10.33742159,2,5.5
501,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,32800000,4LDK,201806,154.75,104.33,50,100,139.95816,35.90826,0.832876712,0.832876712,10.33742159,2,5.5
502,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,29800000,4LDK,201806,199.74,103.92,50,100,139.95816,35.90826,0.832876712,0.832876712,10.33742159,2,5.5
503,2019/4/1,東中新宿2丁目,東武野田線,新柏,13,22800000,4LDK,201808,130.9,99.36,50,100,139.9628,35.83216,0.665753425,0.665753425,13.06930729,2,5.5
504,2019/4/1,柏の葉2丁目,つくばエクスプレス,柏の葉キャンパス,15,32800000,4LDK,201804,106.11,96.96,50,100,139.93974,35.89108,1,1,14.59782304,2,5.5
505,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,32800000,4LDK,201806,152.36,107.23,50,100,139.95816,35.90826,0.832876712,0.832876712,10.33742159,2,5.5
506,2019/4/1,大室1丁目,つくばエクスプレス,柏たなか,10,32800000,4LDK,201804,150.05,103.71,50,100,139.95816,35.90826,1,1,10.33742159,2,5.5
507,2019/4/1,永楽台3丁目,東武野田線,新柏,15,25900000,4LDK,201902,140.04,102.26,50,100,139.9713,35.84557,0.161643836,0.161643836,15.07996995,2,5.5
508,2019/4/1,塚崎,東武野田線,逆井,6,16800000,4LDK,201812,129.89,102.87,60,150,139.99606,35.83493,0.331506849,0.331506849,6.126767392,2.5,5.5
509,2019/4/1,塚崎,東武野田線,逆井,6,15800000,4LDK,201812,119.67,102.45,60,150,139.99606,35.83493,0.331506849,0.331506849,6.126767392,2.5,5.5
